"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","device","early_stopping","epochs","experiment_name","gradient_accumulation_steps","label_smoothing","learning_rate","max_grad_norm","mixed_precision","monitor_metric","monitor_mode","n_folds","num_classes","num_workers","optimizer","output_dir","patience","save_best","save_every","scheduler","seed","warmup_epochs","weight_decay","best_accuracy","best_auc","best_epoch","best_f1","epoch","epoch_time_s","final/MCC","final/accuracy","final/auc_roc","final/balanced_accuracy","final/best_epoch","final/cohens_kappa","final/f1_macro","final/f1_weighted","final/precision_macro","final/recall_macro","final/sensitivity","final/specificity","lr","train/acc","val/acc","train/loss","val/auc","val/f1","val/loss","val/precision","val/recall","val/specificity"
"quantum_1d_full_RZ_fold0","finished","-","","","2026-03-17T11:09:07.000Z","3176","","128","auto","true","50","quantum_1d_full_RZ","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","0.46952440908830767","0.7806635850729163","18","0.3668417207454283","28","112.96993136405943","0.2626509460469234","0.46952440908830767","0.7806635850729163","0.48741954835254864","18","0.24112108944258392","0.3668417207454283","0.5012616599892923","0.35985439688573057","0.48741954835254864","0.48741954835254864","0.8613108833146119","0.00048304656110863297","50.321725739252926","49.08716305156528","1.049898130202111","0.7814033842541876","0.3650743938334817","1.2589721893959671","0.3607111023100169","0.48153047737796906","0.8586336839492794"
"quantum_1d_full_RY_fold0","finished","-","","","2026-03-17T09:23:42.000Z","5605","","128","auto","true","50","quantum_1d_full_RY","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","0.5291020431522921","0.8251017532408282","45","0.43357225963828905","50","112.34671187400818","0.3326108232388082","0.5291020431522921","0.8251017532408282","0.5365978426018959","45","0.3122944514895817","0.43357225963828905","0.5677830035969179","0.422067645249882","0.5365978426018959","0.5365978426018959","0.8763944058173252","0.000001115992464154501","61.675838934186494","52.423739483774966","0.8630339743526837","0.825781749934379","0.4271156407780722","1.1665561393882236","0.4124669165374746","0.5411312750615338","0.8744966041757344"
"quantum_1d_full_RX_fold0","finished","-","","","2026-03-17T07:37:38.000Z","5650","","128","auto","true","50","quantum_1d_full_RX","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","0.5365993246723516","0.8166625395435168","43","0.41832907820814674","50","112.65163135528564","0.3253530785759599","0.5365993246723516","0.8166625395435168","0.532071326438007","43","0.30877024475677706","0.41832907820814674","0.56933995650233","0.4077655227495054","0.532071326438007","0.532071326438007","0.8749768012039383","0.000001115992464154501","59.78607327467857","53.53974703828764","0.892604413833327","0.8208531589803328","0.4145840473650105","1.1844988364155276","0.4033303841036626","0.528678174532934","0.8735508180375321"
"quantum_1d_ring_RXYZ_fold0","finished","-","","","2026-03-17T06:17:48.000Z","4073","","128","auto","true","50","quantum_1d_ring_RXYZ","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","0.5354547015395181","0.7911928363577745","29","0.4187962321340219","39","103.71437430381776","0.2997196780214927","0.5354547015395181","0.7911928363577745","0.5072572811326366","29","0.2890141398760103","0.4187962321340219","0.5670685526385402","0.40252849590093903","0.5072572811326366","0.5072572811326366","0.868853562351829","0.00015232622698397016","56.71207038571275","50.94717564241973","0.9516694236347694","0.8093298324662612","0.4127070320291244","1.2077510412374552","0.3931667076548694","0.5215675908327313","0.871734968506799"
"quantum_1d_ring_RYZ_fold0","finished","-","","","2026-03-17T04:53:40.000Z","4330","","128","auto","true","50","quantum_1d_ring_RYZ","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","0.5398615006009272","0.8215217812244007","42","0.43574532114194786","50","86.52882719039917","0.3426119132498029","0.5398615006009272","0.8215217812244007","0.5536815989801986","42","0.32352965125611","0.43574532114194786","0.5786081995655304","0.42898310203174467","0.5536815989801986","0.5536815989801986","0.877743030574683","0.000001115992464154501","61.955185216135234","52.92737366222171","0.8371462665441382","0.8254718854463334","0.4306729379925403","1.1780645130542071","0.4270388544028668","0.555614872367628","0.8790396264867468"
"quantum_1d_ring_RXZ_fold0","finished","-","","","2026-03-17T03:58:37.000Z","2570","","128","auto","true","50","quantum_1d_ring_RXZ","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","0.4968809019630287","0.77105996474123","19","0.3803043422714888","29","89.29486632347107","0.28237219912998923","0.4968809019630287","0.77105996474123","0.5010737192808108","19","0.26354845912791014","0.3803043422714888","0.5309041599361689","0.3869710252792152","0.5010737192808108","0.5010737192808108","0.8656692339827401","0.00044972317090337686","51.22303532417301","41.83025238940079","1.0605204253706313","0.7591596707904309","0.33463728101952694","1.318441552184794","0.3325461412840319","0.4597254368297003","0.8502687093090273"
"quantum_1d_ring_RXY_fold0","finished","-","","","2026-03-17T02:50:32.000Z","3354","","128","auto","true","50","quantum_1d_ring_RXY","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","0.5050077262061466","0.7952736118706691","29","0.3918272831059484","39","87.1835994720459","0.2991212002709897","0.5050077262061466","0.7952736118706691","0.515326576632187","29","0.2793530021074413","0.3918272831059484","0.5335581714116608","0.3785024932365107","0.515326576632187","0.515326576632187","0.8675339080187241","0.00015232622698397016","55.55290269437845","48.13140273564929","0.9740358933237672","0.7965178029758653","0.3879702150133133","1.2496843365204595","0.3781273938000323","0.5114980861127743","0.86735539373729"
"quantum_1d_ring_RZ_fold0","finished","-","","","2026-03-17T01:40:17.000Z","3504","","128","auto","true","50","quantum_1d_ring_RZ","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","0.47364505236650833","0.7843750247120918","50","0.3714595287693402","50","69.32346558570862","0.25760411871207545","0.47364505236650833","0.7843750247120918","0.4842976426988014","50","0.23665444887963497","0.3714595287693402","0.5092503143756913","0.3874643578722682","0.4842976426988014","0.4842976426988014","0.8604847513387375","0.000001115992464154501","55.73555218642186","47.364505236650835","0.9858631062143632","0.7843750247120918","0.3714595287693402","1.252390957879324","0.3874643578722682","0.4842976426988014","0.8604847513387375"
"quantum_1d_ring_RY_fold0","finished","-","","","2026-03-17T01:03:26.000Z","1503","","128","auto","true","50","quantum_1d_ring_RY","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","0.458879413952956","0.7459063610926546","12","0.3431232090911237","22","68.18719410896301","0.23270423826948017","0.458879413952956","0.7459063610926546","0.4552940016341367","12","0.21587031665181663","0.3431232090911237","0.49031389366150174","0.3444491774519293","0.4552940016341367","0.4552940016341367","0.8527855110000022","0.0006793579811330471","47.135506822495735","39.317804612831225","1.1102249983612815","0.7392786705181321","0.3046225151625044","1.370312277853054","0.3165034370463405","0.4415429401302832","0.8452153420133641"
"quantum_1d_ring_RX_fold0","finished","-","","","2026-03-17T00:25:04.000Z","1576","","128","auto","true","50","quantum_1d_ring_RX","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","0.4243690264980255","0.7598974681694945","13","0.3301149215920648","23","68.29700779914856","0.21835663801128904","0.4243690264980255","0.7598974681694945","0.4798677033361579","13","0.19812431921005855","0.3301149215920648","0.45887424535694615","0.33071994585553716","0.4798677033361579","0.4798677033361579","0.8510901245819372","0.000647807949328088","46.92659400479903","44.13094488639616","1.1196379889968695","0.7400782467263461","0.28727318836701066","1.3997060287825382","0.35770347306612343","0.42503901502935937","0.8426764202034331"
"spiking_vit_1d_fold0","finished","-","","","2026-03-16T23:15:34.000Z","3436","","128","auto","true","50","spiking_vit_1d","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","0.40685629256567274","0.7569492898625121","40","0.3421831867133681","50","54.126604080200195","0.2275293019068912","0.40685629256567274","0.7569492898625121","0.4653387452572071","40","0.2023187627575358","0.3421831867133681","0.4535861796382784","0.3511445114936878","0.4653387452572071","0.4653387452572071","0.8546335752407719","0.000001115992464154501","54.23376747406497","39.106049333257026","0.9642220426151772","0.7549608607959744","0.3358283970232421","1.4783548113420932","0.35555218672017236","0.4634343308818365","0.8536307079697691"
"spiking_vit_1d_fold0","finished","-","","","2026-03-16T23:15:29.000Z","3214","","128","auto","true","50","spiking_vit_1d","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","0.372403136267384","0.7498481385670607","36","0.32642525603960537","46","69.5898859500885","0.2149326494426815","0.372403136267384","0.7498481385670607","0.4530440440332134","36","0.18533215619025445","0.32642525603960537","0.4291737028032668","0.35399036781122983","0.4530440440332134","0.4530440440332134","0.8524448048264945","0.00002765137508449041","51.85216135232251","35.61494877811481","1.0062703957994477","0.7532607435991147","0.3115067663729014","1.4322667326370295","0.343830830441887","0.4440267006375226","0.8490644746113137"
"snn_1d_attn_fold0","finished","-","","","2026-03-16T22:22:40.000Z","2135","","128","auto","true","50","snn_1d_attn","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","0.5830710238653923","0.524253412064064","7","0.19287888597096295","17","124.37120723724364","0.05619582890036352","0.5830710238653923","0.524253412064064","0.2194628379676068","7","0.043392210921627816","0.19287888597096295","0.4873888486992643","0.25493802033635776","0.2194628379676068","0.2194628379676068","0.8063148174498911","0.0008223951909571216","15.901249895543591","21.10685056945001","1.5456726581995723","0.5281136275299609","0.138070531761192","1.6221341112234298","0.2157935970232208","0.22317077060460885","0.805773856078879"
"snn_1d_attn_fold0","finished","-","","","2026-03-16T22:14:08.000Z","2690","","128","auto","true","50","snn_1d_attn","4","0","0.001","1","true","val_f1","max","5","5","4","adamw","outputs/results","10","true","0","cosine","42","3","0.0001","0.5395753448177187","0.5246689487740271","17","0.22616464364231711","27","77.06381487846375","0.07359739919483023","0.5395753448177187","0.5246689487740271","0.23315635365129825","17","0.07068396364670071","0.22616464364231711","0.4986699604901231","0.22661066942684757","0.23315635365129825","0.23315635365129825","0.8121864777831295","0.0005164445330389499","21.10019458736734","33.9037371945287","1.5152444917737071","0.5487486667003934","0.20410073260706724","1.64318248085732","0.2290236719651013","0.25605751468612065","0.8039733489884814"
